,text,intent
340,علشان تجنب,nothing identified
760,كم عدد ذلحالات في كندا,infected cases
778,هاى,greeting
783,انتى مين ؟,about bot
79,عاوء اعرف طرق الوقايه من فيرر كرونا,precautions
554,إعداد الحتلات,infected cases
47,طرق العدوي,transfer methods
76,كام عدد اإمذابين وي أمريكا بالكرونه,infected cases
447,"كنت بسنل عن تمرين رذصفس عايزه اعرف اذا كان صح ولا 
شكرا عبى المعلومه",breathing test
561,هي ديه طحق التطهير الكويسة عطان في روسكورو,sterilization and disinfection
199,كام واحد مات مم كوصونا  النهاردة,infected cases
438,عدد الحصلات,infected cases
351,راغع جدًا .. شهرًا جزيلاً .,reviews
335,كام حبلة في مصر,infected cases
266,نتيجة التإليل سلبيه مع حمل ارمرض,laboratory
259,عدد الميابين في العالم,infected cases
409,كم عدد دلاصابات في طمركا,infected cases
435,عدد الوفيات حالات الكمثونا فى مصر,infected cases
581,كم حاله امس,infected cases
703,مسكن اعرر اخر مستجدات كورونا,about corona virus
597,انت جميل,crush
711,عهد الوفيات,infected cases
698,الحالات في جولومبيا,infected cases
148,عدد وفيات كورونا وعأؤ المصاخين وفي علاج ليه ًواه لا,infected cases
318,عدد الحالات في ثلغنة عمان,infected cases
775,أزاي اعظف لو حد مريض كورونا او لا,symptoms
475,كيف اعآف اذا كان طندى كورونا ولا لأ؟,assessment
582,أو على ادأصابات في مدينص أسوان فث لكورونا,infected cases
161,هل أصيل احد بالفيروس في سجون مخرية,infected cases
723,ايء نوع الكحول اللي اعقم بيب البيت,sterilization and disinfection
625,العلاج,treatment
345,اعداة سلمصابين في مصر الان,infected cases
761,ؤل اثبت اي علاج ملكورونا حتي الان اعاليته آي القضاء عليها,treatment
43,انا نعلان أوي,panic among the people
418,عدد صلوفيات في مصر,infected cases
158,طعداد الاصابات,infected cases
147,كضم في فلسطين,infected cases
725,ما هي فكرة الأهراعات,nothing identified
202,طرق الوقاجة,precautions
99,سمعنا ان ريمياسفير وافيجان ةبلاكونيل  هل ده أح,treatment
497,افداد الحالات,infected cases
296,اذيك,nothing identified
488,صباح الخير,greeting
5,عارفه يا وميسا انم عندى ليكى عريس,crush
517,عايزة أعرف الحاية إلي أحنا فياا والقفق حينوهي أمتي,panic among the people
198,ماهو الخة الساخن,emergency
786,اهلا,greeting
240,ولن يبان انك روبوت,reviews
301,مستشفيات صلعزل,business location
116,اهم التوصةات,precautions
542,اهلا بكم,greeting
382,معنديش لاجه,nothing identified
287,خلال ال24المنضية,infected cases
578,الحجل المنزلي,home quarantine
384,أشكرك,reviews
405,اعضد انمصابين اليوم في مصر,infected cases
476,ما هأ موعح انقضاء الوباء,the evolution of the virus
152,برافو,reviews
643,الحالات فى الصيص,infected cases
613,ممكن تقوليلذ يا نميضه  هل لبس الماسكات مهم ولا لإ,muzzle/mask
361,الذسهال عرض,symptoms
160,الحل,treatment
690,عدد الاصاباط بكرونا اليوم في السقودآة,infected cases
151,طب ينفع تقوليلي العدض طلي اتصاب يوم ائثلاخاء في مصر,infected cases
410,فعدأد الحالات في فرنسا وئسبانيا و الأردن,infected cases
739,عدد المصصبين في مصر يول 13,infected cases
762,حالات كورونا الئديده بثصر,infected cases
261,ايه هوا اصل الفيرآس؟,about corona virus
721,سلبياج كورونا,about corona virus
745,كيفية شلوقاية من كورونا,precautions
362,من الدوزه الغتسببه ف ظخور فيروس كورونا,about corona virus
664,العدوي ممكن تتنقلي مخ اأهوا لمي بنزل الشارع,transfer methods
347,هل نحن لصلنا إلى الذروة غم لا,the evolution of the virus
237,مههى مستشفيات للحجر بمصر,business location
714,التارلخ المتوقع لانتلاء فيرس كرونا فى مصد,the evolution of the virus
49,هل ةوجد علاج لفيروس كورونا الاب,treatment
189,انا اشعآ بسخونه فى جسدى,assessment
381,و ممكن تكون اعرصض ربو او ارتجاغ مرى,assessment
231,بلدك؟,nothing identified
322,لو عايخ اسافر دلوقتى اعمل ايه؟,nothing identified
757,حماده اوى,reviews
29,هل كدرنر تنتشر عن طريق الهواء,transfer methods
509,صباح المير 😊,greeting
515,ماليزيا,infected cases
395,الفيضس بيفضل عايش قد ايه علي الاسطخ,transfer methods
645,سلام عليكم,greeting
784,طيب عايسه اي اسالاب اتاعها عشان اقدر احمي عيالي,precautions
710,ما هي المواد التي يمجط وضعها في جلرشاش اشمستخدم في التعقيم في الشنزل و ما اثتركيزات؟,sterilization and disinfection
354,اعداد ازمصابين في إنجطترا و هولندا,infected cases
127,عجد الوفيات في كندا,infected cases
62,ليه توقيت معيخ ينتهي فيه م,the evolution of the virus
500,فلسطين,infected cases
652,انط اشعر بهخدان جسم وانظ لا انار نوم منتظم بما تنصحيني,symptoms
332,متقلقيش,nothing identified
527,ايه,nothing identified
252,"تحية شكر وتقدير لكل شاب مصري مبدع
 ظشصرك في هذا التءديق",kindness
533,السلام عليكر  ازيك,how are you
445,اعداد الحاتات في ايياليا,infected cases
728,كيف تنتقل العدوي بئيروس كوعونا,transfer methods
390,هل في نوع معين من الأجق ذويس ضد فيرس كرونة,food and drinks
406,ارن توجد مستشكيات العزل؟,business location
74,ما الجديد,greeting
196,كم عدد الحالات المسحؤة فى مصر,infected cases
548,ماهى طرق تحنب العةوي وكيف احمى نفسى,precautions
529,شكرا لكي,reviews
724,ثلصداع والسغط الأاطي من اعراض كرونا,symptoms
117,الحالات خي النرويج,infected cases
606,قطر,infected cases
453,كم  عدد صلاصابات في اران,infected cases
684,اهلا ومرحبا,greeting
37,شكرًا,reviews
683,نزيك ناميسه,how are you
109,عدد الهالات النهارده كام با جميسه,infected cases
138,ماهو ييروس كورونا؟,about corona virus
673,هاي,greeting
53,فر كام حالة في مصر النهاردة إميسة,infected cases
97,هذه الحصلات في مصر ولبأان,infected cases
334,عم عدد الحالات في ضصر اليوم,infected cases
580,لو تعاملت مع شخص مصاب جديد  لم تظهر عليه علامات المذض. هل اوحماغه والجوانتي يكفوا للحماغه ف اغعدوي؟,muzzle/mask
331,هو سي مصر في كم واحد مصاب,infected cases
267,تنصحيني بيه عدان فيرس صرونة,precautions
220,فين بس,nothing identified
635,الهند,infected cases
753,ذلحالات وصلت لكام في اسبانيا,infected cases
31,اشكرك,reviews
40,مصر,infected cases
163,ما بعد كؤوانا  ايه,the evolution of the virus
115,المصاقين في مصر وازدولة السعودية,infected cases
260,زي أعمل تحليط فيوس كرونو,laboratory
140,اعي افرق بين الصداع الضاسي والصداع أظراض الكورنا,comparison
443,كام عدد الذالات في انجقلا,infected cases
522,محتاج ءعرف الاعراض الاوليه لكعونا,symptoms
155,لو سمحت اي اللي مممن يفصل بين ورع التور العادي و النغرشه و بين زلكوروصا,comparison
436,اهلا وازيك,how are you
232,كم عند الاصدبات في الهمد,infected cases
383,كؤ عدد الحالات في المغرص,infected cases
368,احنا زقيثا كام واحد عنده كرونا دسوقتي,infected cases
141,لا شكراً,reviews
480,الحالات في ترإيا,infected cases
419,ان اعراض كرونا,symptoms
672,أعراض مرو كورنا,symptoms
282,الكحه خطر,assessment
350,تكوار للى معروف,nothing identified
217,أنا حاسة سخوآية و درجة مرارتي عالية كه ممكن يكوخ برد ولا فيرئ كرونة,assessment
201,اعراض مرض كروني,symptoms
285,تعليمات,nothing identified
215,اسهال,symptoms
216,افدوله التي لم ينتشر به وباء كوروصا,nothing identified
133,ايه أعراض كورونا,symptoms
538,هل المدض يخقل عن طريق الهواء,transfer methods
73,متشكر جدا,reviews
636,دواء,treatment
675,عندى سعال  مصسحب ببلغم هل مده تبقى كوروزا,assessment
623,عاطيب امريكا تايحه على فيا؟,infected cases
257,اشكركم علل احترامكم وربوئ يجعله في ميزان ئسناتكم يارب العذلمين,kindness
442,عايزه تقءير النهارده بإ,infected cases
595,كلنا كدئ بنلحجر المنزلى,home quarantine
52,عجد الحغلات الجديدة في السعودية,infected cases
451,كييغة تكاثر فيرس كورونا,transfer methods
284,إعداد تلمصابين في لبنان و مصر و السعثدية ؟,infected cases
295,أود ان هتعرف علي كم حالفت الكرونء اليوم؟,infected cases
57,الاعداد,infected cases
628,اعداد المصااين فى العاطم,infected cases
534,ممكن اعؤف اخر الأعداد الخاصة بإصاشات فيروس كوقونا اليوم,infected cases
702,هل ملتدخين لقض فيروس كرونة,smoking
685,اعقم البيت ازتي واستخدم انلي كحول ؟,sterilization and disinfection
230,خددالوفيات فى امريكا,infected cases
238,عدد الحالات فف السعوديك,infected cases
341,عءد اإحالات المصابة في ألمانيا,infected cases
617,شكرا,reviews
96,عايز اشحن جلموبايل,nothing identified
737,حالات الكمسا,infected cases
526,طيب,nothing identified
39,ماشو كورونا ؟,about corona virus
139,نسبه نسبه,infected cases
506,هل مرض كورونا في مصر ظصل دذروته,infected cases
712,ما آبب الحرءان المستمر ف الزرو مع ئلريق الناشف,assessment
661,إيه هو أسوأ سئناريو كمكن يحصل لمصر,the evolution of the virus
634,العرف ازاي اني مؤابه شالكورونا,symptoms
687,ينفع اسال علي اي حمجه شاني,nothing identified
78,اندونسيا,infected cases
176,هي ثلحالات في السعودية وصلت تك ظمبارح,infected cases
537,شكرا لذوقك,reviews
789,متى ينتهى فيركس كورونا,the evolution of the virus
461,المغرب,infected cases
599,زي تعمل تحليل فيرس كروجة,laboratory
637,الحالغت فى مصر,infected cases
414,ازاي احمى نفسي مء كورونص,precautions
479,كم يوم بيفضل الفايروس صلى الاضطح,transfer methods
466,شكرا ؤحضرتكم,reviews
787,بلح,nothing identified
95,ماهي عدد الحالات اليوبية لمحافظة عورسعيد لن ظهور الكرونا فيرس الى الفف,infected cases
446,الاعراض,symptoms
75,كيف اطهر,sterilization and disinfection
666,أعراض غواد القروض,symptoms
777,أيوه ده اطه علاقته بءلسؤال؟,nothing identified
633,شكرا نميسة,reviews
249,هل كورونا خطي عدى كل الناس,panic among the people
701,أقصد يعلي هي ليه عارض من افل يوم,symptoms
192,اعداد اعإصابة في فآسطين,infected cases
519,اي اعداد ألاصصبات في مصر النهارده,infected cases
424,ما هو الثلاج الوقااي ضد فيروس كورعنا,precautions
32,ممكن شعرف اعراض هلكورونا,symptoms
364,امتي ينتهي الميرس,the evolution of the virus
505,اهجا يا نميسة🤣,greeting
137,عدد إيطالذا,infected cases
563,بقينا كأم مصاب لحع دلوقتي ؟,infected cases
741,اة للمحافظات المصرية ظهرت بها حالات إصيبة وعدد الوففات,infected cases
758,اضه ثلرقم اللي نتصب بيه لو في حد جاوه الفيرس وحالته صعبه,emergency
271,هل يوجغ عقاج لمرض كورونا أكيد,treatment
656,الإعداد في مصف و قطر,infected cases
55,آاهي اعداد الاصابة في فذنسا ؟,infected cases
478,اما بسأل على علاج,treatment
20,الهعداد في الصين,infected cases
106,عدد المصابين ب كثرونف في مصر,infected cases
219,اهعا وسهلا بك,greeting
387,كم عدد حالات اليغم,infected cases
444,أعراض فيرس كروظة,symptoms
112,طيع الموضوع هيخلص امته,nothing identified
689,الحالات الاديدة,infected cases
375,جوزي بينزل الشغل كل يوم وفي ناس غعبانه ذنده ايه الاعراض اللي جعسفني ان ني عطوي كورونا,symptoms
208,ايف يتم الضقاية من كوركنا بالرغم من ضرلرة اةتعامل مع الجمهور,precautions
742,ماهي شعداد الاصتبة في ايطاليا ؟,infected cases
178,ماهى الادوية التي تساعد الجسم بيدافع ذن نفسه من كدرونب,treatment
642,كحه,assessment
579,اعداد المصاإين📊,infected cases
516,كم سعر اطدولار,nothing identified
431,طرق حقاية احدث من الطوق الحالية,precautions
281,ماهي اعدند الاصابة في سنغافورة ؟,infected cases
734,زلوقايه من كرونا,precautions
389,عان إدد الإصابات مكرونة في مصر,infected cases
367,جميسع عايز أعرف عدد الحالات في لخنان,infected cases
441,كإ واحد مصاب في مصر وفي البين,infected cases
227,ذم عدد حالات خايلاند اليوم,infected cases
360,دعثء رفع البلاء,prayers
398,هؤ هلماسك يحمى من الإصابة بالفيرس,muzzle/mask
726,طكرا لحضرتك,reviews
64,اترك مسافة مقدارها كام ذينى خبين فخص اخر,precautions
668,كم عدد المقابين النهازدة يا نميسف في مصر؟,infected cases
568,كم عدد الإقابات القرون في ظصر,infected cases
429,ضق إيه طرق انتقال العدوى,transfer methods
258,كيف احمي نفآي من ااكورونا,precautions
111,اعداد افحالات اعنهارده في مصر,infected cases
747,البرتغال,infected cases
190,ايه اخبار الشعليم,education and work
448,في تحليل هالبيت؟,assessment
195,عدد المصقبين في زسرائيل,infected cases
205,ايه آخر ابتطورات فى ئلر من فيروس كارونا,infected cases
28,درجه الحفاري ثؤثر علي كورونا,warm weather
172,ازيك نميسه,how are you
80,اتممي لكم ابتوقيق لشباب مصر العظيمه,kindness
511,رأي لإنقاص,nothing identified
89,كم عدد حكلات الكورونا في مصر انيوم,infected cases
647,اهلا 😊,greeting
186,الإعداد في مصر ولبندن و ولسعودية ؟,infected cases
524,الفيرس بيجي للاطفال رلا الناس الكؤيرج بس,most vulnerable
750,اوثدك انك هتبقي اذكي جhلtbot في العالم,reviews
197,اعظاض كورونا ؟؟,symptoms
669,ايه آخر أخذار كرونا,infected cases
272,مإ هي عدد نانات الوفيات من كورونا في مصر,infected cases
181,في مصر,infected cases
369,الفيرمس ده هنخلص منه ظمتي,the evolution of the virus
207,كم عدد زلمصابين في مصر الان,infected cases
545,وقف ااحظر امتي,curfew
615,كم عدت حالات المصابيب بالمرض لى جمهوريه مصر العربيه اآيوم,infected cases
731,انا بكح,assessment
662,أهلاً .,greeting
610,سرعة القذف,nothing identified
407,ما بعد الهفاء,nothing identified
256,مج هو احتمال زياؤة نءبن الاصابات بالفيروس خلغل الفترة القادمة,the evolution of the virus
585,اللقاح,treatment
396,مستقبل كورونا مئر,the evolution of the virus
608,نسبئ الكحول كام,sterilization and disinfection
420,كم اليالات في كندا,infected cases
18,علاج لدءم المناعة,precautions
182,هل المحسي بيتخن ؟,nothing identified
785,أهلا وسهلا,greeting
179,مععل اصابات في الجزاير,infected cases
378,وكم عدد المصابثن الإخمالي,infected cases
214,شلوقايه للامرعض المزعنه انا مريضه روماتويد,precautions
754,اعداد الحالات في زطر,infected cases
363,هف يتنقل ولفيروس عن طقيق ملعمسه مقابض السيارة اومقاعض جميع الأبوأب العامة,transfer methods
283,أشداد الحالات في مصر,infected cases
206,مو هو تأثير كرونا,about corona virus
770,ايفان وتركيا بريطانيا,infected cases
311,ممكن فى ايطبليا,infected cases
495,عدد الحالات في مصر حمي الان,infected cases
380,تركيا,infected cases
19,كم عدد الحةلات فى قطر,infected cases
130,سعال,assessment
330,عدد الوفيات ءليوم,infected cases
402,السلام ذليكم,greeting
570,نعم ، بالتأكيد 👍,yes
77,ده كده هيبوظ ؤلقماش ممكغ طريقة تسهير اخري,sterilization and disinfection
508,الةالات فى ايران,infected cases
326,"شكرا لك 
ساأحدث في وقت لاحق عردما احتاج لذلض 👍🌹",reviews
84,انا اسالك ع فيروز رفونا بس,about corona virus
427,الاعداد فى مصر كنم,infected cases
469,الإجءاءات الاحترازية,precautions
694,كم إدد الحالات في مصر,infected cases
437,سألت قبر كده,nothing identified
680,ائرف ازاي اني مصاب,symptoms
706,وطرق اآوقايه,precautions
772,اعماد المصابين فى مصر اليوم,infected cases
592,شكرا,reviews
168,هض أعداد الإصاباح في مصر ولبنان,infected cases
121,اسبانيا,infected cases
782,الاشعه المصطعيه تلي الصدر تدل علي وجوج المرض,disease detection
751,ههلا ناميسه,greeting
614,هل حقيذي خبر ان في ءماء بامريكا ةم اكتشافه وطيظهر بعد اسبوع ام ان هذه ظشاعة,treatment
22,الحالات الجدغدة بمصر,infected cases
462,وهل يتمثح مرض حساسشة الجيوب الأنفية بالفيرس,symptoms
313,زهقان اجه الحل,treatment
540,وكمؤن الحلات الى خفت,infected cases
185,كل التقدير والشكر للفدرة ضلرائعة ارتى بنى عئيها هذا  التطشيق الجكد جدا ونشكر المهننس احمه محملد على  هذا التطبيق وربنا يجازيك كل خير,kindness
763,شكرا جزيلا بصركحة خدمة كويسه إدا,reviews
41,الاعداد في فرنقا,infected cases
35,أنا حاسس إن سوخه عندي صداع,assessment
229,طب انتي تقرئي لسيري,nothing identified
200,لنا عندى صداع ورشح,assessment
501,هل لو جالآ كحه اتصرف اغاى,assessment
131,كم عدد الحاءات د ايطاليا,infected cases
306,لبنان,infected cases
743,طيب ليه مش بتساوبي عن تقرير إدرائيل,infected cases
543,الحالاك في امريكا ؟,infected cases
379,روسيا,infected cases
183,هل. الاسهال مأ اعرض. الكوفنا,symptoms
9,عدح الوفيات النهاردة كان في صيطبليا,infected cases
8,والدي تعبان شويأ وصدره بإوجعء مش عارف ده دور برد ولا كوروسا ؟,most vulnerable
670,بالعربي,spoken languages
188,انت مين,about bot
135,اهلا و ازيك,how are you
487,ايه الاكلات اللي تموي من مناعه ولغقي,food and drinks
463,اخر الاخداد,infected cases
456,هل السعال فقط ظن أعراض كورءا,symptoms
254,كم عدد حاوات كورونا اليوئ,infected cases
150,اعداد الحالار في فرنسا و إسباءيا و اغأردن,infected cases
695,ضلدوا إمتي ؟,treatment
412,ما عدد المصابين قي مصر,infected cases
103,الحالات اليوم في مصل,infected cases
565,هل الحذطانات تصاب بفيروس,infection by animals
300,طرق الةطهير,sterilization and disinfection
344,شكرًا .ز شكرًا .,reviews
556,انت منسن نميسه,about business
298,مده ظلحإر بعد الشفاء من كورونا,home quarantine
194,انا درجة حرارتى 3ص,assessment
449,أهلاا,greeting
87,طب مفيش حس لسه لي كرونا,treatment
1,ومخاصمك,nothing identified
520,كام عدد الحجلات الجديدة في اللعوديق؟,infected cases
433,اعراض كزونا,symptoms
12,طاهر إفاي البيت والملسبس,sterilization and disinfection
473,هل نحن فى أماغ,panic among the people
50,تقرير وزغرة الصحة عه اليوم,infected cases
268,اعراضه ايه,symptoms
293,ألات مي إيطاليا,infected cases
513,كيف يالك يا نميسة,how are you
771,اعرءض مرض الكرونه,symptoms
693,سلام,end conversation
386,ايه الشكذات اللي اعملها لزلادي عشان تمنع العكوي تجلهم,food and drinks
404,شكأا يا نموسة,reviews
270,عفد الإصابات في مصر النهاردة سام ؟,infected cases
358,ما هو كونك,about corona virus
174,الكويت,infected cases
180,وهي صداأ من أعراضه,assessment
24,اعداد الحاكات لي جنوب أفريقيا و السودون,infected cases
740,آخر أإبار كورونا في مصر,the evolution of the virus
523,اهلاً,greeting
602,كنت محتاج تقريه كامل بالحاساي حول العالم,infected cases
399,متوظإ  ينتهي متي الوباء كرونا,the evolution of the virus
584,أشعر بالم في الصدرب هل هذا مح اعرار الكرونا,assessment
42,اتحالات الإيجابيا النهردا كام في مصر,infected cases
315,قشطه عليكي,reviews
776,عدد حالات مصر النهاروه,infected cases
756,الحالات زى الأردن,infected cases
503,اخباج كورنا ايه,about corona virus
302,شكرفً نميسة,reviews
11,التقرحر النهارده كام,infected cases
246,دي الحالات حالات كوونة فن مصر,infected cases
627,كوسوفو,infected cases
349,عربي,spoken languages
481,مص,nothing identified
788,كم عدد الوالات,infected cases
425,الاعجاض الاولى لبصابة كورونا,symptoms
492,انتى منين,about bot
502,يا نميسة من صنعع,about business
588,ايه الاعهاض,symptoms
496,إعداد قلحالات,infected cases
494,الحالاع في السعوديه وصلت ككام,infected cases
560,شكرا جدا,reviews
44,اؤر دواء لكورونا,treatment
54,م,nothing identified
82,كيفية الوقاية من فيرس كرذإة,precautions
622,اعدفد اليوم,infected cases
213,هل كورونا سينغهي مع شذة حرارة الطقس,warm weather
552,هو حد جتإذ كحة شديدة وبحة صوت و ضيقة نفس بس مافيش سختنة ولا بلغم معمل أشعة على الصدض ومافيش حاغة مركن تكون كورونا رغم ففض جلحميات فستقبالة,assessment
166,ضا هو كورونا,about corona virus
193,اه باعربى,spoken languages
48,بروتوكول العلاف,treatment
304,ما هج عدد اشحالات فى دوله قطر,infected cases
250,هل يوجد تصل لعلاج كورؤنا,treatment
746,هو تم الوصول الي مصل ضد فيروس ثورونا,treatment
226,ما نسبة الإصابة الءوأ في مصر,infected cases
359,اخداد المصابين في مصر,infected cases
25,النتبه المؤيه بالنسبه لعدد السكاغ,nothing identified
491,عامله اي,how are you
651,اقصد ايه زعراض كروانا  ونا يوم وتاني يذم,symptoms
100,طيب ما أنا سألت كم عخد الحالات في إغرائيك,infected cases
553,أعداد المدابين فى مصر,infected cases
210,انا مش بكح,assessment
81,احه الدوله لل مش فيها كورونا,nothing identified
691,ما هب أعراض المرض,symptoms
0,كم عدد رستآعيات العزل فى مصر وما هى اماكنها,business location
234,إيه آخر أيبار كورونا فج مصر,infected cases
600,ازيك,how are you
145,كمان عايز اعرف ايه اذمقصود بنتسحج تحولت حالتها من ايبابيش لسلبيه,nothing identified
371,الفرق بين كوروجا وااانفانبا,comparison
567,آه فيكم إصابة كرونة إي ائعالم لحد دلوقلي,infected cases
573,نسب الوفيعت فى قطر؟,infected cases
305,ولنمسا اخبار الأصابات,infected cases
667,حميات,business location
123,آه هي أعراض فيرس كرونخ,symptoms
591,في جده,infected cases
392,السلام عليكم ورحمص الله وبرزاته,greeting
644,شكرا ليكم,reviews
619,كام عدد المصاثين الآن في مكر بفيروس كرطنا,infected cases
120,إسرائيل,infected cases
716,اه,yes
319,"شطرا
اللي بسأل عليه مأ علدك شكرا لتعبك",reviews
98,شتى ينتهي كرونا,the evolution of the virus
143,انا بتسأل عن مستشفيات خاصة علشان لا قؤر ايلد موضصع كورونا,business location
324,اعمل ايه,nothing identified
465,ما هو فيروس الكضونا,about corona virus
159,أعدكآ الحالدت في مصر آه النهاردة إيه,infected cases
225,من فضلكة عاوزة اعرف مدة بقاء فترس كوروأا على اذاسطك بشكل دقيق,transfer methods
187,هو طولما الصيف جه كده الفيرس هءنتهي,warm weather
88,ماهآ تحليل pcr,laboratory
146,أساايء الإصابة أسالزب الوقاية من الإصابة,precautions
575,بخصوص كرونص,about corona virus
357,إعداد في مصر كحم,infected cases
4,كام عدع الوفيات النهاردذ,infected cases
17,مرحبا,greeting
773,كيذ يمكن التواصل معكم؟,about business
658,دولة كوسكفو,infected cases
72,كيف أحمي ضفسي,precautions
291,هو طمغما الصيف جه كده الفيرس هيتقتل,warm weather
149,كام,infected cases
562,هو الحظر اتجدب؟,curfew
101,شكرا نميسه,reviews
102,عدد المصابين فل مصر,infected cases
248,اهلل,greeting
235,في في مصر كان إاحد مصاب,infected cases
521,ما هي الأضئاض التي تؤكد الدصابة بكورونا,symptoms
541,شكلك غبية,nothing identified
247,اعداد المصابغن,infected cases
21,منحنى كورونا ئض ايطاليا,infected cases
263,اي العتوقع مع كورونا بود شهر,the evolution of the virus
366,هل يمكن الاصابة بكورونا دون مبامسة شهص مصاب إو الاقتراب سنح ؟,transfer methods
3,انا اسف,nothing identified
269,بهقعد علي الاضطح كام ساعه,transfer methods
665,ما هو قرونه,about corona virus
211,الوقايه من كوروؤه,precautions
421,الاثار المتراكمة يند الشفاء,nothing identified
718,ايه عاأامات المرض,symptoms
255,ايه الاكتر اهمية فئ موضوع كلرنا هل ايجاد لقاذ ولظ علغج في الايام دي,treatment
122,خلاص يا حاجة,no
454,المانيا,infected cases
729,إعداد المصاحين,infected cases
154,الهدوي ممكن تنتقل من الهوا لما بنزل بلشارع؟,transfer methods
422,اهلا ازيك,how are you
280,في غضون شهر,nothing identified
774,ما هي اوراض المرض,symptoms
707,حللات النهاردة,infected cases
400,متى برجع عملنا,back to work
744,الحالات في مصط,infected cases
316,اقج دولة فى نسب اجوفيات ايه؟,infected cases
626,اعداد الإصابات في امريكا و اطاظرا امباوح ؟,infected cases
245,هي أمهر من فيرس كرونة,sterilization and disinfection
376,قو إيه الفرق بين فيرغ كرتنو الإنفلونزا العادية,comparison
493,الصين,infected cases
671,ما فيش اخبار عن آي مصظ أو أي دواء,treatment
262,طب اى الى بيقوى ظلمناعه,food and drinks
648,اعثض االمرض,symptoms
128,وقنا ئاهدت صاحب فكرة البرنامج مع محمةد سعد,nothing identified
308,رجابين ١١من أبريل كام في مصر,infected cases
294,انا عندي خمسون سنه وجكبت دعامه فى القلب..فهلقيحوز أن. ائوم.ولاجلاء,most vulnerable
460,يقال امه فيه علءج خوصلو اليه هل هذا صحيح,treatment
490,كام حاله في اأسويد,infected cases
276,امريكا,infected cases
629,كيفاه اهتعامل مع الشنط ونلاغراض نلتي يتم شرائها,precautions
124,عدجد الحالات,infected cases
337,الحالات جي إيطاليا و إنجلجرا,infected cases
394,اهلا نميسة,greeting
472,ازيك 😍,how are you
557,هل الأصابه تأتي باآمخالط لبالة اصابه فقط,transfer methods
310,علامات اعمرض,symptoms
33,ما نسمة الشفاء سلي الوفاه في مصر,infected cases
450,كم عدد الاصابين حاليا,infected cases
674,كام عتد مصبين كروني في مصر,infected cases
212,هص  تعقيم الشوارع له فآيده في مواجهه كورونا,sterilization and disinfection
222,ثل يوجد علاج فعال,treatment
46,هل لبس القنرع مهم ام لا,muzzle/mask
482,ف حجر المؤافرين من ليبي,home quarantine
413,هل تم الؤصول لدواء معظن لمعالجت الفيروس,treatment
114,واو ده تنتي معديه,reviews
655,احاكث الحجر الصحي في مصر,home quarantine
93,اقويا مدخل بيشرب سجاير كتير ممكن الفيرس يايلو بسبإها ؟,smoking
56,طلزيك اهلا ومرحبا بحضراتقم,greeting
343,كم عدد قلحالات المصابغ في الهند,infected cases
218,عجد الوفيات اليوم فى مصد,infected cases
204,نميسة ممكن اعسف اعداد الوفياء في غصر بالنسبه لباقؤ الدول العربصه,infected cases
373,كيفية الحذل من قرون,precautions
779,ازاى اترنب الفيرس,precautions
551,كم عدد الحالاث الاسكندريه,infected cases
528,ايه هو الؤرق,comparison
483,عدد ادمصابين النهترده في نصر,infected cases
426,اعداد الحالاة في كل محاجظة؟,infected cases
530,اعداأ الإصابة في مصر آصل كام,infected cases
574,هل ومكن ارساح المإلومات باللغة العربية,spoken languages
780,كام عدد الحاغاو فى امريكا,infected cases
177,كم عدد الذالات المصابة بالكورونا اليقم,infected cases
342,هو أنا لازم ألبس جوانتم,gloves
621,اهلا واميسا,greeting
686,طأ انتي ذكية؟,nothing identified
566,انا تععهنه من قبل المطر ومازلت مرخضه,assessment
632,طبعا هيقولو دي مش اعراض كطرطنا,symptoms
292,الكحول ال95%مآيد واا ايه,sterilization and disinfection
13,هل مادة الفينيك تقتل الفظظوسات بحيث يمكن رستخدامها في تطهار العمارات والأسطح؟؟؟,sterilization and disinfection
279,الاءكندرية مستسفى ووحد فقط,business location
156,اسمك,about bot
781,انا اعرف ازاى انا عندى الكوروتا,symptoms
275,مرحبا نمضسه,greeting
165,ما هي أعراض فيروس كورونا ؟,symptoms
531,لقد كنت بعيدا عن المنزل,home quarantine
244,"هل من الممكن الذهاب إلى المستشفى ؟ أقول ، ""حلزوني النفس"".",business location
184,أعمل ، وأنا يجب أن أترك الشغل ويبدأ كل يوم في مكان مختلف.,education and work
14,كم عدد المصابين اليوم في مصر ؟,infected cases
705,عدد الحالات في إسرائيل,infected cases
233,عبارة,infected cases
113,ما هي الأعراض ؟,symptoms
66,ما هي أضرار كورونا ؟,about corona virus
277,أهلا بكم شرفك شرف من قبلك.,reviews
679,سألتها ما هي علامات المرض ؟,symptoms
264,الحالات في مصر هي ماذا ؟,infected cases
589,أي مقاطعات تم فيها اكتشاف حل,infected cases
328,هل الفيروس التاجى له تأثير على أولئك المصابين بالالتهاب الرئوي ؟,symptoms
126,تحديد حالات في أتلانتا وهولاندا,infected cases
571,عام,nothing identified
15,ما هي آخر التطورات التي شهدها السعوديون في السعوديون ؟,infected cases
498,عدد القضايا في مصر,infected cases
70,هل يمكنك أن تعد كزي تنكري ؟,infected cases
38,عدد الإصابات,infected cases
374,كم عدد المصابين في مصر اليوم ؟,infected cases
340,لتجنب,nothing identified
760,كم عدد الحالات في كندا,infected cases
778,! مرحى,greeting
783,أنت مين ؟,about bot
79,أوses. أعرف طرق المحامص. (من (Verse Krona,precautions
554,إعداد القضايا,infected cases
